epoch,error
1.0,0.11417452748993842
2.0,0.10203751043251483
3.0,0.07026023029496775
4.0,0.03698591822617864
5.0,0.007073692081870404
6.0,0.0008035906539961799
7.0,4.219839521345367e-05
8.0,0.0001493051789595001
9.0,0.00024263629952683163
10.0,0.000145096408447351
11.0,4.8249423446252446e-05
12.0,2.4942842227549305e-06
13.0,5.9710441338680326e-06
14.0,1.8698733477244984e-05
15.0,2.2649699662784757e-05
16.0,1.4325225263727792e-05
17.0,8.076339440774684e-07
18.0,1.7603904168253263e-05
19.0,0.0001041300203524615
20.0,0.0002102895839768548
21.0,0.0002726140865045488
22.0,0.00030638475801130426
23.0,0.00031964688740882924
24.0,0.0003170742089665489
25.0,0.00029657678504496653
26.0,0.0002566751544919995
27.0,0.00020361189789180485
28.0,0.00015007251438292087
29.0,0.00010770336575447854
30.0,8.075688599483271e-05
31.0,6.680375236290373e-05
32.0,6.118297716298438e-05
33.0,5.964950549420496e-05
34.0,5.88817748648986e-05
35.0,5.6258557003837885e-05
36.0,8.961044123890149e-05
37.0,5.546886071245466e-05
38.0,9.988161571346828e-05
39.0,4.046546760996248e-05
40.0,8.29177559617537e-05
41.0,3.1427994714592666e-05
42.0,3.404092547440998e-05
43.0,1.7960153278751793e-05
44.0,3.3951668532475416e-06
45.0,9.464839784899986e-09
46.0,4.7228178674458684e-06
47.0,1.1795626143467958e-05
48.0,1.1432337462455744e-05
49.0,2.6927733639789616e-06
50.0,2.4800933775605645e-06
51.0,3.327791140857613e-05
52.0,0.00010896787968051638
53.0,0.00023063632320361214
54.0,0.0003849791983953648
55.0,0.0005383666281393238
56.0,0.0006366633859495491
57.0,0.0006373527834680784
58.0,0.0005643972211909088
59.0,0.000489503222468777
60.0,0.0004485222421914403
61.0,0.00043411453243818234
62.0,0.0004337746683570084
63.0,0.0004401362750704997
64.0,0.0004474937025719332
65.0,0.00045037984584317604
66.0,0.00044422643348940847
67.0,0.00042673939316559273
68.0,0.00039926550695688657
69.0,0.00036727766047847833
70.0,0.0003387770081304187
71.0,0.0003196227762062723
72.0,0.00030854172772645723
73.0,0.00029911493326785195
74.0,0.0002869138715242321
75.0,0.00027154987709642576
76.0,0.000254275933552573
77.0,0.0002362761243925901
78.0,0.00021831263705685125
79.0,0.00020083419706184516
80.0,0.00018411069197610779
81.0,0.00016831385122552012
82.0,0.00015355740440373613
83.0,0.00013991610503993855
84.0,0.00012743499858797476
85.0,0.0001161343898009929
86.0,0.00010601299116066002
87.0,9.705040394286908e-05
88.0,8.92094658786845e-05
89.0,8.24386595554437e-05
90.0,7.667455800580923e-05
91.0,7.184414971357411e-05
92.0,6.786683032355201e-05
93.0,6.465586942934597e-05
94.0,6.211924634236074e-05
95.0,6.01598792726987e-05
96.0,5.867542370926797e-05
97.0,5.755796201357732e-05
98.0,5.669402152508951e-05
99.0,5.596541807801775e-05
100.0,5.5251402330348185e-05
101.0,5.443246606543581e-05
102.0,5.339592770130054e-05
103.0,5.2043057381926436e-05
104.0,5.0297050404942e-05
105.0,4.811069521973046e-05
106.0,4.547225380599494e-05
107.0,4.240805602114497e-05
108.0,3.898073440810451e-05
109.0,3.5282869427370076e-05
110.0,3.1426856795460535e-05
111.0,2.7532700705169462e-05
112.0,2.3715865936329785e-05
113.0,2.0077160551703796e-05
114.0,1.6695972214934984e-05
115.0,1.3627306815863076e-05
116.0,1.0902268136970945e-05
117.0,8.531077250174807e-06
118.0,6.5075299851659e-06
119.0,4.813879248309011e-06
120.0,3.4253898427349057e-06
121.0,2.3141249484268397e-06
122.0,1.4517976065459583e-06
123.0,8.117150469178442e-07
124.0,3.6995353992206993e-07
125.0,1.0594313590643776e-07
126.0,2.638622274791317e-09
127.0,4.642657067160397e-08
128.0,2.268838157085142e-07
129.0,5.364692564205269e-07
130.0,9.702028315213948e-07
131.0,1.5253641132583143e-06
132.0,2.2012277465446213e-06
133.0,2.9988427906461243e-06
134.0,3.920856629355584e-06
135.0,4.971380370303403e-06
136.0,6.155890654673496e-06
137.0,7.481161878975193e-06
138.0,8.955222522271613e-06
139.0,1.0587329259838704e-05
140.0,1.2387952623476452e-05
141.0,1.4368768015098225e-05
142.0,1.6542645826098954e-05
143.0,1.8923634235119903e-05
144.0,2.1526927960715573e-05
